Affiliations                                 	   Record Count	       % of 2,094
UNIVERSITY OF QUEENSLAND                     	              9	     0.430
UNIVERSITY OF TUN HUSSEIN ONN MALAYSIA       	              9	     0.430
UNIVERSITY OF WISCONSIN SYSTEM               	              9	     0.430
YUNNAN UNIVERSITY                            	              9	     0.430
BROOKHAVEN NATIONAL LABORATORY               	              8	     0.382
CHINA NATIONAL PETROLEUM CORPORATION         	              8	     0.382
HOKKAIDO UNIVERSITY                          	              8	     0.382
JADAVPUR UNIVERSITY                          	              8	     0.382
KING FAHD UNIVERSITY OF PETROLEUM MINERALS   	              8	     0.382
KING KHALID UNIVERSITY                       	              8	     0.382
KOREA ADVANCED INSTITUTE OF SCIENCE TECHNOLOG	              8	     0.382
Y KAIST                                      	               	          
LOUISIANA TRANSPORTAT RES CTR                	              8	     0.382
NATIONAL ENERGY TECHNOLOGY LABORATORY USA    	              8	     0.382
SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN	              8	     0.382
UNIVERSITY OF AL QADISIYAH                   	              8	     0.382
UNIVERSITY OF NOVI SAD                       	              8	     0.382
UNIVERSITY OF WESTERN AUSTRALIA              	              8	     0.382
UNIVERSITY OF WISCONSIN MADISON              	              8	     0.382
COMSATS UNIVERSITY ISLAMABAD CUI             	              7	     0.334
ECOLE CENTRALE DE NANTES                     	              7	     0.334
GUANGZHOU UNIVERSITY                         	              7	     0.334
HAIHE LAB SUSTAINABLE CHEM TRANSFORMAT       	              7	     0.334
HELMHOLTZ ASSOCIATION                        	              7	     0.334
KOREA CONFORM LABS                           	              7	     0.334
LUBLIN UNIVERSITY OF TECHNOLOGY              	              7	     0.334
MUGLA SITKI KOCMAN UNIVERSITY                	              7	     0.334
NANCHANG UNIVERSITY                          	              7	     0.334
NANTES UNIVERSITE                            	              7	     0.334
NINGBO UNIVERSITY                            	              7	     0.334
NORTHWESTERN UNIVERSITY                      	              7	     0.334
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY RMIT 	              7	     0.334
SATHYABAMA INSTITUTE OF SCIENCE TECHNOLOGY   	              7	     0.334
SAVEETHA INSTITUTE OF MEDICAL TECHNICAL SCIEN	              7	     0.334
CE                                           	               	          
SEMYUNG UNIVERSITY                           	              7	     0.334
SHANGHAI JIAO TONG UNIVERSITY                	              7	     0.334
SHIJIAZHUANG TIEDAO UNIVERSITY               	              7	     0.334
TAIYUAN UNIVERSITY OF TECHNOLOGY             	              7	     0.334
UNIVERSITY OF JINAN                          	              7	     0.334
UNIVERSITY OF MIAMI                          	              7	     0.334
UNIVERSITY OF SOUTH AUSTRALIA                	              7	     0.334
UNIVERSITY OF WAIKATO                        	              7	     0.334
WASHINGTON STATE UNIVERSITY                  	              7	     0.334
WUHAN TEXTILE UNIVERSITY                     	              7	     0.334
XI AN UNIVERSITY OF TECHNOLOGY               	              7	     0.334
AGH UNIVERSITY OF KRAKOW                     	              6	     0.287
AMRITA VISHWA VIDYAPEETHAM                   	              6	     0.287
AMRITA VISHWA VIDYAPEETHAM COIMBATORE        	              6	     0.287
ARISTOTLE UNIVERSITY OF THESSALONIKI         	              6	     0.287
BAUHAUS UNIVERSITAT WEIMAR                   	              6	     0.287
BEIJING JIAOTONG UNIVERSITY                  	              6	     0.287
BIRLA INSTITUTE OF TECHNOLOGY SCIENCE PILANI 	              6	     0.287
BITS PILANI                                  	               	          
CHINA INSTITUTE OF WATER RESOURCES HYDROPOWER	              6	     0.287
RESEARCH                                     	               	          
CHINA UNIVERSITY OF MINING TECHNOLOGY        	              6	     0.287
CHONGQING JIAOTONG UNIVERSITY                	              6	     0.287
CHONNAM NATIONAL UNIVERSITY                  	              6	     0.287
CHUNGNAM NATIONAL UNIVERSITY                 	              6	     0.287
CRACOW UNIVERSITY OF TECHNOLOGY              	              6	     0.287
CURTIN UNIVERSITY                            	              6	     0.287
DOKUZ EYLUL UNIVERSITY                       	              6	     0.287
EGE UNIVERSITY                               	              6	     0.287
HUAZHONG UNIVERSITY OF SCIENCE TECHNOLOGY    	              6	     0.287
HUNAN UNIVERSITY                             	              6	     0.287
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM IIT SYS	              6	     0.287
TEM                                          	               	          
JIANGSU UNIVERSITY                           	              6	     0.287
KING SAUD UNIVERSITY                         	              6	     0.287
KIRIKKALE UNIVERSITY                         	              6	     0.287
LEIBNIZ UNIVERSITY HANNOVER                  	              6	     0.287
MCMASTER UNIVERSITY                          	              6	     0.287
MONASH UNIVERSITY MALAYSIA                   	              6	     0.287
NAJRAN UNIVERSITY                            	              6	     0.287
NATIONAL CENTRE OF SCIENTIFIC RESEARCH DEMOKR	              6	     0.287
ITOS                                         	               	          
NORTHEAST FORESTRY UNIVERSITY CHINA          	              6	     0.287
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER ED	              6	     0.287
UCATION PCSHE                                	               	          
POLYTECHNIQUE MONTREAL                       	              6	     0.287
SAVEETHA SCHOOL OF ENGINEERING               	              6	     0.287
SINTEF                                       	              6	     0.287
SOUTHWEST JIAOTONG UNIVERSITY                	              6	     0.287
SUN YAT SEN UNIVERSITY                       	              6	     0.287
TECHNICAL UNIVERSITY OF CLUJ NAPOCA          	              6	     0.287
TOHOKU UNIVERSITY                            	              6	     0.287
UNIVERSIDADE FEDERAL DO PARANA               	              6	     0.287
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL    	              6	     0.287
UNIVERSITE DE MONTREAL                       	              6	     0.287
UNIVERSITY OF ADELAIDE                       	              6	     0.287
UNIVERSITY OF LONDON                         	              6	     0.287
UNIVERSITY OF SHERBROOKE                     	              6	     0.287
UNIVERSITY OF SOUTHERN CALIFORNIA            	              6	     0.287
UNIVERSITY OF TEXAS ARLINGTON                	              6	     0.287
WESTERN SYDNEY UNIVERSITY                    	              6	     0.287
