Affiliations                                 	   Record Count	      % of 10,494
UNIVERSITY OF MICHIGAN                       	             44	     0.419
BEIJING INSTITUTE OF TECHNOLOGY              	             43	     0.410
LANZHOU INSTITUTE OF CHEMICAL PHYSICS CAS    	             43	     0.410
PEKING UNIVERSITY                            	             43	     0.410
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT    	             42	     0.400
ETH ZURICH                                   	             41	     0.391
SUNGKYUNKWAN UNIVERSITY SKKU                 	             41	     0.391
YONSEI UNIVERSITY                            	             41	     0.391
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFIC	             40	     0.381
AS CSIC                                      	               	          
HEBEI UNIVERSITY OF TECHNOLOGY               	             40	     0.381
NANKAI UNIVERSITY                            	             40	     0.381
AGENCY FOR SCIENCE TECHNOLOGY RESEARCH A STAR	             39	     0.372
CONSIGLIO NAZIONALE DELLE RICERCHE CNR       	             39	     0.372
NORTHWESTERN UNIVERSITY                      	             39	     0.372
CENTRAL SOUTH UNIVERSITY                     	             38	     0.362
CHANG AN UNIVERSITY                          	             38	     0.362
SOUTHERN UNIVERSITY A M COLLEGE              	             38	     0.362
SOUTHERN UNIVERSITY SYSTEM                   	             38	     0.362
WASHINGTON STATE UNIVERSITY                  	             38	     0.362
XIAMEN UNIVERSITY                            	             38	     0.362
AMIRKABIR UNIVERSITY OF TECHNOLOGY           	             37	     0.353
HANYANG UNIVERSITY                           	             37	     0.353
POLYTECHNIC UNIVERSITY OF MILAN              	             37	     0.353
UNIVERSITE PSL                               	             37	     0.353
UNIVERSITY OF GRONINGEN                      	             37	     0.353
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE     	             36	     0.343
GUILIN UNIVERSITY OF TECHNOLOGY              	             36	     0.343
HOKKAIDO UNIVERSITY                          	             36	     0.343
MONASH UNIVERSITY                            	             36	     0.343
TECHNISCHE UNIVERSITAT DRESDEN               	             36	     0.343
TEXAS A M UNIVERSITY COLLEGE STATION         	             36	     0.343
TEXAS A M UNIVERSITY SYSTEM                  	             36	     0.343
UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSO	             36	     0.343
CIES                                         	               	          
UNIVERSITY OF LONDON                         	             36	     0.343
CLEMSON UNIVERSITY                           	             35	     0.334
HEBEI UNIVERSITY                             	             35	     0.334
OAK RIDGE NATIONAL LABORATORY                	             35	     0.334
SHENZHEN INSTITUTE OF ADVANCED TECHNOLOGY CAS	             35	     0.334
UNITED STATES DEPARTMENT OF DEFENSE          	             35	     0.334
BEIJING FORESTRY UNIVERSITY                  	             34	     0.324
CHONGQING UNIVERSITY                         	             34	     0.324
HARVARD UNIVERSITY                           	             34	     0.324
NORTH CAROLINA STATE UNIVERSITY              	             34	     0.324
POLYMAT                                      	             34	     0.324
TIANGONG UNIVERSITY                          	             34	     0.324
CHANGCHUN UNIVERSITY OF TECHNOLOGY           	             33	     0.314
HONG KONG POLYTECHNIC UNIVERSITY             	             33	     0.314
INST COLOR SCI TECHNOL                       	             33	     0.314
LEIBNIZ INSTITUT FUR POLYMERFORSCHUNG DRESDEN	             33	     0.314
NATIONAL TAIWAN UNIVERSITY                   	             33	     0.314
QATAR UNIVERSITY                             	             33	     0.314
SOUTHERN UNIVERSITY OF SCIENCE TECHNOLOGY    	             33	     0.314
UNIVERSITY OF CALIFORNIA LOS ANGELES         	             33	     0.314
UNIVERSITY OF MASSACHUSETTS SYSTEM           	             33	     0.314
UNIVERSITY OF TORONTO                        	             33	     0.314
BEIHANG UNIVERSITY                           	             32	     0.305
IRAN POLYMER PETROCHEMICAL INSTITUTE         	             32	     0.305
JINAN UNIVERSITY                             	             32	     0.305
LUDONG UNIVERSITY                            	             32	     0.305
ROYAL MELBOURNE INSTITUTE OF TECHNOLOGY RMIT 	             32	     0.305
UNIVERSITY OF TENNESSEE KNOXVILLE            	             32	     0.305
UNIVERSITY OF TENNESSEE SYSTEM               	             32	     0.305
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH O	             31	     0.295
RGANISATION CSIRO                            	               	          
DEAKIN UNIVERSITY                            	             31	     0.295
JIANGSU UNIVERSITY                           	             31	     0.295
NORTHEAST FORESTRY UNIVERSITY CHINA          	             31	     0.295
SHANGHAI UNIVERSITY                          	             31	     0.295
UNIVERSITY OF PETROLEUM ENERGY STUDIES UPES  	             31	     0.295
A STAR INSTITUTE OF MATERIALS RESEARCH ENGINE	             30	     0.286
ERING IMRE                                   	               	          
CHANGZHOU UNIVERSITY                         	             30	     0.286
CITY UNIVERSITY OF HONG KONG                 	             30	     0.286
JEONBUK NATIONAL UNIVERSITY                  	             30	     0.286
KOREA ADVANCED INSTITUTE OF SCIENCE TECHNOLOG	             30	     0.286
Y KAIST                                      	               	          
PENNSYLVANIA STATE UNIVERSITY                	             30	     0.286
SHANDONG UNIVERSITY OF SCIENCE TECHNOLOGY    	             30	     0.286
SOUTHWEST UNIVERSITY OF SCIENCE TECHNOLOGY CH	             30	     0.286
INA                                          	               	          
UNIVERSITE DE STRASBOURG                     	             30	     0.286
CARNEGIE MELLON UNIVERSITY                   	             29	     0.276
PENNSYLVANIA STATE UNIVERSITY UNIVERSITY PARK	             29	     0.276
POHANG UNIVERSITY OF SCIENCE TECHNOLOGY POSTE	             29	     0.276
CH                                           	               	          
ULSAN NATIONAL INSTITUTE OF SCIENCE TECHNOLOG	             29	     0.276
Y UNIST                                      	               	          
UNIVERSITY OF SALERNO                        	             29	     0.276
HUNAN UNIVERSITY                             	             28	     0.267
ISLAMIC AZAD UNIVERSITY                      	             28	     0.267
KING ABDULAZIZ UNIVERSITY                    	             28	     0.267
MIAMI UNIVERSITY                             	             28	     0.267
NINGBO UNIVERSITY                            	             28	     0.267
QINGDAO UNIVERSITY                           	             28	     0.267
SOUTHWEST JIAOTONG UNIVERSITY                	             28	     0.267
UNIVERSITY OF AKRON                          	             28	     0.267
UNIVERSITY OF CALIFORNIA SANTA BARBARA       	             28	     0.267
CORNELL UNIVERSITY                           	             27	     0.257
EAST CHINA NORMAL UNIVERSITY                 	             27	     0.257
ECOLE SUPERIEURE DE PHYSIQUE ET DE CHIMIE IND	             27	     0.257
USTRIELLES DE LA VILLE DE PARIS ESPCI        	               	          
ISFAHAN UNIVERSITY OF TECHNOLOGY             	             27	     0.257
KARLSRUHE INSTITUTE OF TECHNOLOGY            	             27	     0.257
POLYTECHNIC UNIVERSITY OF TURIN              	             27	     0.257
TEZPUR UNIVERSITY                            	             27	     0.257
UNIVERSITY OF TEHRAN                         	             27	     0.257
FUZHOU UNIVERSITY                            	             26	     0.248
JIANGXI SCIENCE TECHNOLOGY NORMAL UNIVERSITY 	             26	     0.248
RIKEN                                        	             26	     0.248
UNIVERSITY OF ILLINOIS CHICAGO               	             26	     0.248
UNIVERSITY OF ILLINOIS CHICAGO HOSPITAL      	             26	     0.248
HONG KONG UNIVERSITY OF SCIENCE TECHNOLOGY   	             25	     0.238
IOWA STATE UNIVERSITY                        	             25	     0.238
MINIST EDUC                                  	             25	     0.238
SUZHOU UNIVERSITY OF SCIENCE TECHNOLOGY      	             25	     0.238
UNIVERSITE DE MONTREAL                       	             25	     0.238
UNIVERSITY OF CALIFORNIA IRVINE              	             25	     0.238
UNIVERSITY OF MANCHESTER                     	             25	     0.238
CHINESE ACADEMY OF ENGINEERING PHYSICS       	             24	     0.229
CHINESE UNIVERSITY OF HONG KONG              	             24	     0.229
NATIONAL INSTITUTE FOR MATERIALS SCIENCE     	             24	     0.229
NORTHWEST NORMAL UNIVERSITY CHINA            	             24	     0.229
UNIVERSITY OF WARWICK                        	             24	     0.229
UNIVERSITY OF WISCONSIN SYSTEM               	             24	     0.229
WAGENINGEN UNIVERSITY RESEARCH               	             24	     0.229
CONCORDIA UNIVERSITY CANADA                  	             23	     0.219
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFIC	             23	     0.219
AS Y TECNICAS CONICET                        	               	          
DUTCH POLYMER INSTITUTE                      	             23	     0.219
HAINAN UNIVERSITY                            	             23	     0.219
HEFEI UNIVERSITY OF TECHNOLOGY               	             23	     0.219
NANJING UNIVERSITY OF AERONAUTICS ASTRONAUTIC	             23	     0.219
S                                            	               	          
NANJING UNIVERSITY OF POSTS TELECOMMUNICATION	             23	     0.219
S                                            	               	          
NATIONAL TSING HUA UNIVERSITY                	             23	     0.219
UNIVERSIDADE DE LISBOA                       	             23	     0.219
UNIVERSITY OF MASSACHUSETTS AMHERST          	             23	     0.219
UNIVERSITY OF PATRAS                         	             23	     0.219
UNIVERSITY OF TEXAS AUSTIN                   	             23	     0.219
DEFENCE RESEARCH DEVELOPMENT ORGANISATION DRD	             22	     0.210
O                                            	               	          
FRAUNHOFER GESELLSCHAFT                      	             22	     0.210
INTERUNIVERSITY MICROELECTRONICS CENTRE      	             22	     0.210
ISTITUTO PER I POLIMERI COMPOSITI E BIOMATERI	             22	     0.210
ALI IPCB CNR                                 	               	          
JOHANNES GUTENBERG UNIVERSITY OF MAINZ       	             22	     0.210
LEIBNIZ ASSOCIATION                          	             22	     0.210
LEIBNIZ INSTITUT FUR PHOTONISCHE TECHNOLOGIEN	             22	     0.210
NORTHEASTERN UNIVERSITY CHINA                	             22	     0.210
POLISH ACADEMY OF SCIENCES                   	             22	     0.210
PURDUE UNIVERSITY                            	             22	     0.210
PURDUE UNIVERSITY SYSTEM                     	             22	     0.210
ROMANIAN ACADEMY                             	             22	     0.210
UNIVERSITY OF NEW BRUNSWICK                  	             22	     0.210
WUHAN TEXTILE UNIVERSITY                     	             22	     0.210
WUHAN UNIVERSITY                             	             22	     0.210
ZHEJIANG SCI TECH UNIVERSITY                 	             22	     0.210
BEIJING INSTITUTE OF NANOENERGY NANOSYSTEMS C	             21	     0.200
AS                                           	               	          
CHINA NATIONAL PETROLEUM CORPORATION         	             21	     0.200
INSTITUTE OF SCIENCE TOKYO                   	             21	     0.200
KUMOH NATIONAL UNIVERSITY TECHNOLOGY         	             21	     0.200
PUSAN NATIONAL UNIVERSITY                    	             21	     0.200
SOUTH CHINA AGRICULTURAL UNIVERSITY          	             21	     0.200
UNIVERSITY COLLEGE LONDON                    	             21	     0.200
UNIVERSITY OF BATH                           	             21	     0.200
UNIVERSITY OF CALIFORNIA SAN DIEGO           	             21	     0.200
UNIVERSITY OF SOUTHERN MISSISSIPPI           	             21	     0.200
ZHEJIANG UNIVERSITY OF TECHNOLOGY            	             21	     0.200
ACADEMY OF SCIENTIFIC INNOVATIVE RESEARCH ACS	             20	     0.191
IR                                           	               	          
BASQUE FOUNDATION FOR SCIENCE                	             20	     0.191
CASE WESTERN RESERVE UNIVERSITY              	             20	     0.191
DEPARTMENT OF SCIENCE TECHNOLOGY INDIA       	             20	     0.191
HUBEI UNIVERSITY                             	             20	     0.191
KYUNGPOOK NATIONAL UNIVERSITY KNU            	             20	     0.191
SIM VZW                                      	             20	     0.191
STATE KEY LABORATORY SURFACTANT FINE CHEMISTR	             20	     0.191
Y                                            	               	          
TAMPERE UNIVERSITY                           	             20	     0.191
TOKYO INSTITUTE OF TECHNOLOGY                	             20	     0.191
UNIVERSITY OF FLORIDA                        	             20	     0.191
UNIVERSITY OF SCIENCE TECHNOLOGY UST         	             20	     0.191
HAKIM SABZEVARI UNIV                         	             19	     0.181
INDIAN INSTITUTE OF TECHNOLOGY IIT MADRAS    	             19	     0.181
