sep=;
Office Code;IA Number;National Number;Event Type;Event Date;
NZ;PCT/EP2023/064873;817039;C;;
NZ;PCT/EP2023/067803;817403;C;;
NZ;PCT/CN2023/098030;816800;D;;
NZ;PCT/US2023/067432;817274;D;;
NZ;PCT/IB2023/000535;817115;D;;
NZ;PCT/EP2023/069087;816725;G;;
NZ;PCT/US2022/035254;817075;G;;
NZ;PCT/JP2023/018892;817055;G;;
NZ;PCT/AU2023/050490;816793;R;;
NZ;PCT/US2023/025385;817402;R;;
NZ;PCT/US2023/069801;817388;W;;
NZ;PCT/US2023/023445;816971;W;;
NZ;PCT/AU2023/050619;817429;W;;
NZ;PCT/AU2023/050395;816757;C;;
NZ;PCT/US2023/065519;817336;C;;
NZ;PCT/NO2023/050089;817126;C;;
NZ;PCT/IB2023/055901;816682;D;;
NZ;PCT/EP2023/064950;817162;D;;
NZ;PCT/EP2023/069505;817234;D;;
NZ;PCT/IB2023/056152;816818;G;;
NZ;PCT/IB2023/000312;817229;G;;
NZ;PCT/CN2023/099158;817396;R;;
NZ;PCT/US2023/022098;816771;G;;
NZ;PCT/IB2023/056283;817296;G;;
NZ;PCT/US2023/026769;817407;R;;
NZ;PCT/NO2023/060008;817254;R;;
NZ;PCT/EP2023/068358;816983;R;;
NZ;PCT/US2023/021150;816773;W;;
NZ;PCT/EP2023/067805;817273;W;;
NZ;PCT/US2023/066825;816945;W;;
NZ;PCT/US2023/068956;816821;C;;
NZ;PCT/GB2023/051494;817422;C;;
NZ;PCT/AU2023/050473;817351;D;;
NZ;PCT/US2023/027654;817085;D;;
NZ;PCT/EP2023/069513;817453;D;;
NZ;PCT/US2023/026081;816848;G;;
NZ;PCT/US2023/068006;817074;G;;
NZ;PCT/GB2023/051612;816896;G;;
NZ;PCT/EP2023/055328;816806;R;;
NZ;PCT/GB2023/051668;817338;R;;
NZ;PCT/CN2023/098241;816992;R;;
NZ;PCT/EP2023/067939;816869;W;;
NZ;PCT/IB2023/000335;817315;W;;
NZ;PCT/US2023/076475;817433;C;;
NZ;PCT/SE2023/050644;817198;C;;
NZ;PCT/GB2023/051489;817415;C;;
NZ;PCT/EP2023/063379;816811;D;;
NZ;PCT/CN2023/099146;816823;D;;
NZ;PCT/JP2022/022273;817146;D;;
NZ;PCT/US2023/069132;816817;G;;
